cluster_low,cluster_high,cluster_size,position,near_border,fate
21580.5,21581.5,3,BELOW,21581.5,UNTOUCHED
21655.0,21660.0,5,BELOW,21660.0,UNTOUCHED
21727.0,21730.0,3,BELOW,21730.0,UNTOUCHED
21819.25,21823.75,3,BELOW,21823.75,UNTOUCHED
21905.0,21906.75,3,BELOW,21906.75,UNTOUCHED
22188.5,22190.75,5,BELOW,22190.75,UNTOUCHED
22221.25,22223.5,3,BELOW,22223.5,UNTOUCHED
22248.5,22253.0,3,BELOW,22253.0,UNTOUCHED
22290.5,22293.25,4,BELOW,22293.25,UNTOUCHED
22302.25,22309.25,7,BELOW,22309.25,UNTOUCHED
22353.25,22356.5,3,BELOW,22356.5,UNTOUCHED
22417.75,22423.75,5,BELOW,22423.75,UNTOUCHED
22428.25,22431.75,4,BELOW,22431.75,UNTOUCHED
22493.75,22498.0,3,BELOW,22498.0,TOUCHED_NOT_TRADED
22505.5,22509.25,3,BELOW,22509.25,TRADED
22618.75,22623.0,4,BELOW,22623.0,TOUCHED_NOT_TRADED
22707.0,22710.25,4,BELOW,22710.25,TOUCHED_NOT_TRADED
22726.25,22731.5,6,BELOW,22731.5,TOUCHED_NOT_TRADED
22796.25,22805.0,7,BELOW,22805.0,TOUCHED_NOT_TRADED
22815.75,22821.0,3,SPANS,,SPANS_CLOSE
22917.75,22923.75,5,ABOVE,22917.75,UNTOUCHED
22983.75,22995.75,6,ABOVE,22983.75,UNTOUCHED
23308.75,23312.75,4,ABOVE,23308.75,UNTOUCHED
