cluster_low,cluster_high,cluster_size,position,near_border,fate
20617.75,20622.0,4,BELOW,20622.0,UNTOUCHED
20692.75,20697.75,3,BELOW,20697.75,UNTOUCHED
21308.75,21311.5,3,BELOW,21311.5,UNTOUCHED
21580.5,21581.5,3,BELOW,21581.5,UNTOUCHED
21655.0,21660.0,5,BELOW,21660.0,UNTOUCHED
21727.0,21730.0,3,BELOW,21730.0,UNTOUCHED
21819.25,21823.75,3,BELOW,21823.75,UNTOUCHED
21905.0,21906.75,3,BELOW,21906.75,UNTOUCHED
22188.5,22190.75,4,BELOW,22190.75,TOUCHED_NOT_TRADED
22290.5,22293.25,4,ABOVE,22290.5,TOUCHED_NOT_TRADED
22305.0,22309.25,4,ABOVE,22305.0,TRADED
22428.25,22431.75,4,ABOVE,22428.25,UNTOUCHED
22493.75,22498.0,3,ABOVE,22493.75,UNTOUCHED
22618.75,22623.0,4,ABOVE,22618.75,UNTOUCHED
22708.5,22710.25,3,ABOVE,22708.5,UNTOUCHED
22802.75,22805.0,3,ABOVE,22802.75,UNTOUCHED
22815.75,22821.0,3,ABOVE,22815.75,UNTOUCHED
22917.75,22923.75,5,ABOVE,22917.75,UNTOUCHED
22983.75,22995.75,6,ABOVE,22983.75,UNTOUCHED
23308.75,23312.75,4,ABOVE,23308.75,UNTOUCHED
