cluster_low,cluster_high,cluster_size,position,near_border,fate
20177.75,20180.75,3,BELOW,20180.75,UNTOUCHED
20609.0,20612.5,3,BELOW,20612.5,UNTOUCHED
20823.75,20827.0,3,BELOW,20827.0,UNTOUCHED
20994.75,21000.0,3,BELOW,21000.0,UNTOUCHED
21153.5,21157.0,3,BELOW,21157.0,UNTOUCHED
21307.0,21311.25,3,BELOW,21311.25,UNTOUCHED
21444.25,21448.5,3,BELOW,21448.5,UNTOUCHED
21486.25,21490.0,4,BELOW,21490.0,UNTOUCHED
21530.5,21534.25,4,BELOW,21534.25,UNTOUCHED
21580.25,21581.5,3,BELOW,21581.5,UNTOUCHED
21622.0,21631.25,7,BELOW,21631.25,UNTOUCHED
21655.0,21659.75,4,BELOW,21659.75,UNTOUCHED
21676.75,21679.75,3,BELOW,21679.75,UNTOUCHED
21727.0,21730.0,3,BELOW,21730.0,UNTOUCHED
21819.25,21823.75,3,BELOW,21823.75,UNTOUCHED
21848.75,21852.0,3,BELOW,21852.0,UNTOUCHED
21904.25,21906.75,4,BELOW,21906.75,UNTOUCHED
21933.5,21937.0,3,BELOW,21937.0,UNTOUCHED
22188.5,22190.75,3,BELOW,22190.75,UNTOUCHED
22247.5,22252.75,3,BELOW,22252.75,TRADED
22290.5,22293.25,3,BELOW,22293.25,TOUCHED_NOT_TRADED
22305.0,22309.25,3,BELOW,22309.25,TOUCHED_NOT_TRADED
22371.25,22373.5,3,BELOW,22373.5,TOUCHED_NOT_TRADED
22419.75,22420.5,3,ABOVE,22419.75,TOUCHED_NOT_TRADED
22428.25,22430.25,3,ABOVE,22428.25,TOUCHED_NOT_TRADED
22493.75,22498.0,3,ABOVE,22493.75,TOUCHED_NOT_TRADED
22504.25,22508.25,3,ABOVE,22504.25,TOUCHED_NOT_TRADED
22551.5,22556.25,5,ABOVE,22551.5,TOUCHED_NOT_TRADED
22618.75,22623.0,4,ABOVE,22618.75,UNTOUCHED
22983.75,22989.75,3,ABOVE,22983.75,UNTOUCHED
